name,file,mature,platform,sequence,vol_min,vol_max,dist_min,dist_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,dist_reverb_max,reverb_min_falloff_curve,reverb_falloff_curve,pitch_min,pitch_max,randomize_type,spatialized,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,chainaliasname,startdelay,speakermap,lfe percentage,center percentage,envelop_min,envelop_max,envelop percentage,occlusion_level,occlusion_wet_dry,real_delay,distance_lpf,move_type,move_time,min_priority,max_priority,min_priority_threshold,max_priority_threshold,,isbig
amb_spooky,SFX\Levels\zombie\proto\amb_spooky_##,,,,0.5,0.85,150,1500,8,reject,,,full_vol,,,,3300,,curve2,0.85,1.2,,3d,,0.8,,,,,,,,,,,,,,,0.1,,,,,,100,100,0.25,1,,
amb_wind_gust,SFX/Amb/Wind/leaves_##,,,,0.5,0.75,150,1000,8,reject,,,full_vol,,,,1250,,curve2,0.85,1.2,,3d,,0.6,,,,,,,,,,,,,,,0.1,,,,,,100,100,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fire_manager_0,SFX/Destruction/fires/dynamic/dyn_fire_00.wav,,,,1,1,50,500,,,,,ambience,,,,850,,curve2,1,1,,3d,,,looping,,,,,,,,,,,,,,,,,,,,25,80,0.25,1,,
fire_manager_1,SFX/Destruction/fires/dynamic/dyn_fire_01.wav,,,,1,1,50,500,,,,,ambience,,,,850,,curve2,1,1,,3d,,,looping,,,,,,,,,,,,,,,,,,,,25,80,0.25,1,,
fire_manager_2,SFX/Destruction/fires/dynamic/dyn_fire_02.wav,,,,1,1,50,500,,,,,ambience,,,,850,,curve2,1,1,,3d,,,looping,,,,,,,,,,,,,,,,,,,,25,80,0.25,1,,
fire_manager_3,SFX/Destruction/fires/dynamic/dyn_fire_03.wav,,,,1,1,50,500,,,,,ambience,,,,850,,curve2,1,1,,3d,,,looping,,,,,,,,,,,,,,,,,,,,25,80,0.25,1,,
# Dogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#dog_round_start,SFX\Levels\zombie\dog_round\dog_round_start,,,1,1,1,50,1500,1,reject,1,reject,full_vol,,curve2,,,,,1,1,,2d,,,,master,,,,,,,music_all,,,,,,0.5,,,,,,10,25,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Bump Triggers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cage_rattle,SFX\Levels\zombie\bump\cage_##,,,,0.75,1,100,800,2,priority,1,reject,full_vol,,curve3,0.8,,,,0.9,1.05,,3d,,,,,,,,,,,,,,,,,0.1,,,,,,10,25,0.25,1,,
perks_rattle,SFX\Levels\zombie\bump\vend_##,,,,1,1,100,800,2,priority,1,reject,full_vol,,curve3,0.8,,,,0.9,1.05,,3d,,,,,,,,,,,,,,,,,0.1,,,,,,10,25,0.25,1,,
pots_rattle,SFX\Levels\zombie\bump\pots_##,,,,0.75,1,100,800,2,priority,1,reject,full_vol,,curve3,0.8,,,,0.9,1.05,,3d,,,,,,,,,,,,,,,,,0.1,,,,,,10,25,0.25,1,,
shelf_rattle,SFX\Levels\zombie\bump\shelf_##,,,,0.75,1,100,800,2,priority,1,reject,full_vol,,curve3,0.8,,,,0.9,1.05,,3d,,,,,,,,,,,,,,,,,0.1,,,,,,10,25,0.25,1,,
filecabinate_rattle,SFX\Levels\zombie\bump\file_cab_##,,,,0.75,1,100,800,2,priority,1,reject,full_vol,,curve3,0.8,,,,0.9,1.05,,3d,,,,,,,,,,,,,,,,,0.1,,,,,,10,25,0.25,1,,
desk_rattle,SFX\Levels\zombie\bump\desk_##,,,,0.75,1,100,800,2,priority,1,reject,full_vol,,curve3,0.8,,,,0.9,1.05,,3d,,,,,,,,,,,,,,,,,0.1,,,,,,10,25,0.25,1,,
bump_spooky,SFX\Levels\zombie\maps\asylum\morgue\vox_##,,,,0.75,1,100,800,2,priority,1,reject,full_vol,,curve3,0.8,,,,0.9,1.05,,3d,,,,,,,,,,,,,,,,,0.1,,,,,,10,25,0.25,1,,
stretcher_rattle,SFX\Levels\zombie\bump\stretcher_##,,,,0.75,1,100,800,2,priority,1,reject,full_vol,,curve3,0.8,,,,0.9,1.05,,3d,,,,,,,,,,,,,,,,,0.1,,,,,,10,25,0.25,1,,
cupboard_rattle,SFX\Levels\zombie\bump\cupboard_##,,,,0.75,1,100,800,2,priority,1,reject,full_vol,,curve3,0.8,,,,0.9,1.05,,3d,,,,,,,,,,,,,,,,,0.1,,,,,,10,25,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Announcer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ann_vox_laugh_l,SFX\Levels\zombie\new_zombie_vox\laugh\vox_laugh_left.wav,,,,1,1,350,2250,8,reject,1,reject,voice,,curve3,,,,,1,1,,3d,,,,master,,,,ann_vox_laugh_r,,800,,,,,,,0,,,,left_player,8,100,100,0.25,1,,
ann_vox_laugh_r,SFX\Levels\zombie\new_zombie_vox\laugh\vox_laugh_right.wav,,,,1,1,350,2250,8,reject,1,reject,voice,,curve3,,,,,1,1,,3d,,,,master,,,,,,1000,,,,,,,0,,,,right_player,8,100,100,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ZOMBIE SFX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_vocals,SFX\Levels\zombie\new_zombie_vox\ambient_##,,,,0.35,0.65,50,2500,4,priority,1,reject,voice,,curve3,0.8,4000,,curve1,1,1.1,,3d,,,,0.7,,,,,,,,,,,,,0.5,,,,,,10,25,0.25,1,,
board_vocals,SFX\Levels\zombie\new_zombie_vox\attack_##,,,,0.5,0.6,150,1000,3,priority,1,reject,voice,,curve3,0.8,3500,,curve1,1,1.1,,3d,,,,0.7,,,,,,,,,,,,,0.5,,,,,,10,25,0.25,1,,
attack_vocals,SFX\Levels\zombie\new_zombie_vox\attack_##,,,,1,1,200,1000,2,priority,1,reject,voice,,,0.8,1200,,curve2,1,1.1,,3d,,,,,,,,,,,,,,75,250,0.75,0.15,,,no,,,70,90,0.25,1,,
#attack_vocals_close,SFX\Levels\zombie\new_zombie_vox\attack_##,,,,1,1,50,150,4,priority,1,reject,voice,,,0.8,2500,,curve1,1,1.1,,3d,,,,0.7,,,,,,,,,,,,,0.1,,,no,,,70,90,0.25,1,,
sprint_vocals,SFX\Levels\zombie\new_zombie_vox\n\sprint_##,,,,0.7,0.8,150,1500,4,priority,1,reject,voice,,,0.8,1250,,curve1,1,1.1,,3d,,,,0.7,,,,,,,,,,,,,0.15,,,,,,60,70,0.25,1,,
behind_vocals,SFX\Levels\zombie\new_zombie_vox\behind_##,,,,1,1,150,450,2,reject,1,reject,voice,,,1,500,,curve1,1,1.1,,3d,,,,,,,,,,,,,,,,,0.25,,,no,,,70,90,0.25,1,,
elec_vocals,SFX\Levels\zombie\new_zombie_vox\elec_##,,,,1,1,250,1000,3,priority,1,reject,voice,,,0.8,1200,,curve2,1,1.1,,3d,,,,,,,,,,,,,,75,250,0.75,0.15,,,no,,,70,90,0.25,1,,
taunt_vocals,SFX\Levels\zombie\new_zombie_vox\taunt_##,,,,0.85,1,250,1000,3,priority,1,reject,voice,,,0.8,1200,,curve2,1,1.1,,3d,,,,0.7,,,,,,,,,,,,,0.15,,,no,,,50,60,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zombie_fall,SFX\Levels\zombie\zombie_fall_##,,,,0.75,1,50,500,2,priority,1,reject,voice,,,0.8,750,,curve2,1,1.1,,3d,,,,,,,,,,,,,,,,,0.5,,,,,,20,35,0.25,1,,
death_vocals,SFX\Levels\zombie\new_zombie_vox\death_##,,,,0.75,1,75,1000,2,priority,1,reject,voice,,,0.8,1200,,curve2,1,1.1,,3d,,,,,,,,,,,,,,75,250,0.75,0.15,,,no,,,70,90,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taunt_vocals_fiveb,SFX\Levels\zombie\new_zombie_vox\elec\elec_01.wav,,,,1,1,50,1250,4,priority,1,reject,voice,,curve3,0.8,3500,,curve1,1,1.1,,3d,,,,0.7,,,,,,,,,,,,,0.5,,,,,,10,25,0.25,1,,
taunt_vocals_fivef,SFX\Levels\zombie\new_zombie_vox\elec\elec_05.wav,,,,1,1,150,1300,4,priority,1,reject,voice,,curve3,0.8,3500,,curve1,1,1.1,,3d,,,,0.7,,,,,,,,,,,,,0.5,,,,,,10,25,0.25,1,,
taunt_vocals_nine,SFX\Levels\zombie\new_zombie_vox\taunt\taunt_04.wav,,,,1,1,50,1250,4,priority,1,reject,voice,,curve3,0.8,3500,,curve1,1,1.1,,3d,,,,0.7,,,,,,,,,,,,,0.5,,,,,,10,25,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crawl_vocals,SFX\Levels\zombie\new_zombie_vox\crawl_##,,,,1,1,75,500,,,1,reject,voice,,,0.8,1500,,curve2,0.8,1.2,,3d,,0.7,,0.7,,,,,,,,,,,,,0.5,,,,,,60,70,0.25,1,,
crawl_vocals_slow,SFX\Levels\zombie\new_zombie_vox\crawl_##,,,,1,1,75,500,,,1,reject,voice,,,0.8,1500,,curve2,0.8,1.2,,3d,,,,0.7,,,,,,,,,,,,,0.5,,,,,,60,70,0.25,1,,
crawl_hands,SFX\Levels\zombie\zombie_crawl\crawl_##,,,,1,1,75,550,5,oldest,,,voice,,,0.8,700,,curve2,0.94,1.2,,3d,,,,0.7,,,,,,,,,,,,,0.5,,,,,,60,70,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attack_whoosh,SFX\Levels\zombie\whoosh_##,,,,0.8,1,250,500,2,reject,,,full_vol,,,,500,,curve2,0.85,1.2,,3d,,,,0.7,,,,,,,,,,75,355,0.9,0.5,,,,,,40,60,0.25,1,,
step_zombie,SFX\Levels\zombie\steps_##,,,,0.35,0.55,100,800,2,priority,,,full_vol,,,,2000,,curve2,0.85,1.2,,3d,,,,0.7,,,,,,,,,,,,,0.5,,,,,,10,20,0.25,1,,
step_sweetner,null.wav,,,,0.2,0.35,50,300,2,priority,,,full_vol,,,,1000,,curve2,0.85,1.2,,3d,,,,0.7,,,,,,,,,,,,,0.5,,,,,,20,50,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remove_boards,SFX\Levels\zombie\windows_##,,,,0.75,0.75,500,3800,8,reject,,,full_vol,,,,4800,,curve2,0.85,1.2,,3d,,,,,,,,,,,,,,,,,0.5,,,,,,90,100,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
break_boards,SFX\Levels\zombie\wood_snap_##,,,,1,1,1000,5000,8,reject,,,full_vol,,,,4000,,curve2,0.85,1.2,,3d,,,,,,,,,,,,,,,,,0.05,,,,,,90,100,0.25,1,,
repair_boards,SFX\Levels\zombie\wood_repair_##,,,,1,1,250,2500,3,oldest,,,full_vol,,,,4000,,curve2,1,1,,3d,,,,,,,,,,,,,,,,,0.5,,,,,,80,90,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cha_ching,SFX\Levels\zombie\buy_generic\buy_generic.wav,,,,1,1,250,2500,1,oldest,,,full_vol,,,,4000,,curve2,1,1,,3d,,,,,,,,,,,,,,,,,0.5,,,,,,100,100,0.25,1,,
no_cha_ching,SFX\Levels\zombie\buy_generic\no_cha_ching.wav,,,,1,1,250,2500,1,oldest,,,full_vol,,,,4000,,curve2,1,1,,3d,,,,,,,,,,,,,,,,,0.5,,,,,,100,100,0.25,1,,
bomb_falloff,SFX/Destruction/Explosion_Falloff_##,,,,1,1,,,8,reject,,,full_vol,,,,,,,0.94,1.04,,2d,,,,,,,,,,,wpn_all,,,,,,,,,,,,100,100,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
break_stone,SFX\Levels\zombie\stone\stone_break_##,,,,0.75,0.75,500,3800,8,reject,,,full_vol,,,,4000,,curve2,0.85,1.2,,3d,,,,,,,,,,,,,,,,,0.05,,,,,,90,100,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
door_deny,SFX\Levels\zombie\maps\asylum\door\deny_##,,,,1,1,50,800,8,reject,,,full_vol,,,,1000,,curve2,0.9,1.1,,3d,,,,,,,,,,,,,,,,,0.05,,,,,,90,100,0.25,1,,
#OTHER SFX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boards_float,SFX\Levels\zombie\boards_float\boards_float.wav,,,,0.2,0.2,250,2500,3,oldest,,,full_vol,,,,4000,,curve2,1,1,,3d,,,,,,,,,,,wpn_all,,,,,,,,,,,,40,60,0.25,1,,
board_slam,SFX\Levels\zombie\board_slam_##,,,,1,1,250,2500,,,,,full_vol,,,,4000,,curve2,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,40,60,0.25,1,,
couch_slam,SFX\Levels\zombie\couch_slam_##,,,,1,1,1000,4000,1,reject,,,full_vol,,,,4000,,curve2,0.9,1.1,,3d,,,,,,,,lightning_l,,,,,,,,,,,,,,,40,60,0.25,1,,yes
couch_slam_box,SFX\Levels\zombie\couch_slam_##,,,,1,1,1000,4000,1,reject,,,full_vol,,,,4000,,curve2,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,40,60,0.25,1,,yes
lightning_l,SFX\Levels\zombie\couch_move\couch_move_left.wav,,,,0.65,0.65,300,1850,1,reject,1,reject,full_vol,,,,2250,,curve2,0.9,1.1,,3d,,,,,,,,lightning_r,,,,,,250,500,0.8,,,,,left_player,6,40,60,0.25,1,,yes
lightning_r,SFX\Levels\zombie\couch_move\couch_move_right.wav,,,,0.65,0.65,300,1850,1,reject,1,reject,full_vol,,,,2250,,curve2,0.9,1.1,,3d,,,,,,,,,,,,,,250,500,0.8,,,,,right_player,6,40,60,0.25,1,,yes
chalk,SFX\Levels\zombie\chalk\round_over.wav,,,,0.7,0.7,250,2500,3,oldest,,,full_vol,,,,4000,,curve2,1,1,,2d,,,,master,,,,,,,wpn_all,,,,,,,,,,,,100,100,0.25,1,,
round_over,SFX\Levels\zombie\chalk\chalk_v2.wav,,,,0.7,0.7,250,2500,3,oldest,,,full_vol,,,,4000,,curve2,1,1,,2d,,,,master,,,,,,,wpn_all,,,,,,,,,,,,100,100,0.25,1,,
weap_wall,SFX\Levels\zombie\weap_wall\weap_wall.wav,,,,1,1,250,2500,3,oldest,,,full_vol,,,,4000,,curve2,1,1,,3d,,,,,,,,,,,wpn_all,,,,,,,,,,,,40,60,0.25,1,,
music_box,SFX\Levels\zombie\music_box\music_box.wav,,,,1,1,500,2500,1,oldest,,,full_vol,,,,4000,,curve2,1,1,,3d,,,,master,,,,,,,,,,,,,,,,,,,100,100,0.25,1,,
box_move,SFX\Levels\zombie\music_box\box_move\disappear.wav,,,,1,1,500,2500,1,oldest,,,full_vol,,,,4000,,curve2,1,1,,3d,,,,master,,,,,,,wpn_all,,,,,,,,,,,,40,60,0.25,1,,
box_poof,SFX\Levels\zombie\music_box\box_move\poof.wav,,,,1,1,500,4000,1,oldest,,,full_vol,,,,4000,,curve2,1,1,,3d,,,,master,,,,,,,wpn_all,,,,,,,,,,,,40,60,0.25,1,,
whoosh,SFX\Levels\zombie\music_box\box_move\whoosh.wav,,,,1,1,500,2500,1,oldest,,,full_vol,,,,4000,,curve2,1,1,,3d,,,,,,,,,,2450,,,,,,,,,,,,,40,60,0.25,1,,
laugh_child,SFX\Levels\zombie\music_box\box_move\laugh_child.wav,,,,0.75,0.75,500,2500,1,oldest,,,full_vol,,,,4000,,curve2,1,1,,3d,,,,master,,,,,,,wpn_all,,,,,,,,,,,,40,60,0.25,1,,
lid_open,SFX\Levels\zombie\music_box\lid_open.wav,,,,1,1,250,2500,1,oldest,,,full_vol,,,,4000,,curve2,1,1,,3d,,,,,,,,,,,,,,,,,,,,,,,20,30,0.25,1,,
lid_close,SFX\Levels\zombie\music_box\lid_close.wav,,,,1,1,250,2500,1,oldest,,,full_vol,,,,4000,,curve2,1,1,,3d,,,,,,,,,,,,,,,,,,,,,,,20,30,0.25,1,,
door_slide_open,SFX\Levels\zombie\maps\asylum\door\open\open.wav,,,,1,1,250,3500,3,priority,,,full_vol,,,,4000,,curve2,0.9,1.15,pitch,3d,,,,,,,,door_buzzer,,200,wpn_all,,,,,,,,,,,,70,80,0.25,1,,
door_buzzer,SFX\Levels\zombie\maps\asylum\door\open\buzzer.wav,,,,0.75,0.75,400,2500,3,priority,,,full_vol,,,,4000,,curve2,1,1,,3d,,,,,,,,,,,,,,,,,0.15,,,,,,70,80,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
box_poof_land,SFX\Levels\zombie\music_box\box_move\box_land_mn.wav,,,,1,1,500,10000,1,reject,,,full_vol,,curve4,,12000,,curve2,1,1,,3d,,,,master,,,,box_poof_land_flux_l,,,,,,,,,0,,,,,,100,100,0.25,1,,
box_poof_land_flux_l,SFX\Levels\zombie\music_box\box_move\box_land_flux_l.wav,,,,1,1,100,4000,1,reject,,,full_vol,,curve3,,6000,,curve2,1,1,,3d,,,,,,,,box_poof_land_flux_r,,200,,,,,,,0,,,,left_player,3,100,100,0.25,1,,
box_poof_land_flux_r,SFX\Levels\zombie\music_box\box_move\box_land_flux_r.wav,,,,1,1,100,4000,1,reject,,,full_vol,,curve3,,6000,,curve2,1,1,,3d,,,,,,,,,,275,,,,,,,0,,,,right_player,4,100,100,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electrical_surge,SFX\Levels\zombie\maps\asylum\switch\surge_##,,,,0.9,1,50,350,4,priority,,,full_vol,,curve2,,450,,curve2,0.85,1.5,pitch,3d,,,,,,,,,,,,,,50,150,0.4,0.5,,no,,,,5,10,0.1,1,,
light,SFX\Amb\lightbulbs\light_humming_00.wav,,,,0.9,1,50,350,,,1,reject,full_vol,,curve2,,450,,curve2,0.85,1.05,pitch,3d,,,looping,,,,,,,,,,,50,150,0.4,0.25,,no,no,,,5,10,0.1,1,,
#arc_loop_light,SFX\Levels\zombie\maps\asylum\switch\arc_loop\arc_loop.wav,,,,0.9,1,50,550,,,1,reject,full_vol,,curve2,1,800,,curve2,1,1,,3d,,,looping,,,,,,,,,,,50,150,0.4,0.25,,no,,,,5,10,0.1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fire_med,SFX/Destruction/fires/bldg_fire/med_##,,,,1,1,50,500,4,priority,,,ambience,,curve2,,,,,1,1,,3d,,,looping,,,,,,,,,,,,,,,,,,,,5,10,0.15,0.85,,
fire_large,SFX\Levels\ber3b\fire\wall_fire.wav,,,,1,1,50,800,4,priority,,,ambience,,curve2,,,,,1,1,,3d,,,looping,,,,,,,,,,,,,,,,,,,,5,10,0.15,0.85,,
fire_large_far,SFX\Levels\ber3b\fire\wall_fire.wav,,,,1,1,50,1500,,,,,ambience,,curve2,,,,,1,1,,3d,,,looping,,,,,,,,,,,,,,,,,,,,5,10,0.15,0.85,,
couch_loop,SFX\Levels\zombie\couch_loop\whisper_00.wav,,,,1,1,100,550,,,,,ambience,,curve3,,800,,curve2,0.9,1.05,,3d,,,looping,,,,,,,,,,,,,,0,,,no,,,50,95,0.25,1,,yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zombie_spawn,SFX\Levels\zombie\maps\asylum\dirt_spawn_##,,,,1,1,250,2000,3,priority,,,full_vol,,curve4,,2250,,curve2,1,1,,3d,,,,,,,,,,,,,,,,,,,,,,,40,60,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_behind_door,SFX\Levels\zombie\maps\asylum\door\bang_##,,,,0.4,0.55,150,750,2,reject,,,full_vol,,,,3300,,curve2,0.85,1.2,,3d,,0.25,,,,,,amb_behind_door_vox,,,,,,,,,0.25,,,,,,100,100,0.25,1,,
amb_behind_door_vox,SFX\Levels\zombie\maps\asylum\door\door_vox_##,,,,0.5,0.85,150,1000,8,reject,,,full_vol,,,,3300,,curve2,0.85,1.2,,3d,,0.15,,,,,,,,,,,,,,,0.25,,,,,,100,100,0.25,1,,
amb_pa_system,SFX\Levels\zombie\maps\asylum\PA\pa_system_00.wav,,,,0.7,0.7,250,2250,1,reject,,,full_vol,,,,2400,,curve2,1,1,,3d,,,,0.6,,,,,,,,,,,,,0.15,,,,,,100,100,0.25,1,,
amb_pa_system_full,SFX\Levels\zombie\maps\asylum\PA\pa_system_01.wav,,,,0.9,0.9,250,2250,1,reject,,,full_vol,,,,2400,,curve2,1,1,,3d,,,,0.6,,,,,,1000,,,,,,,0.15,,,,,,100,100,0.25,1,,
