name,platform,file,sequence,vol_min,vol_max,dist_min,dist_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,dist_reverb_max,reverb_min_falloff_curve,reverb_falloff_curve,pitch_min,pitch_max,randomize_type,spatialized,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,chainaliasname,startdelay,speakermap,lfe percentage,center percentage,envelop_min,envelop_max,envelop percentage,occlusion_level,occlusion_wet_dry,real_delay,distance_lpf,move_type,move_time,min_priority,max_priority,min_priority_threshold,max_priority_threshold,doppler,isbig
# Rifles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Browning Automatic Rifle (BAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#weap_bar_fire_plr,,SFX/Weapon/rifle/bar/Fire/wpn_BAR_st_f.wav,,0.9,1,,,2,oldest,,,rfl_1st,,curve3,,,,,0.98,1.04,,2d,,,,0.75,pel1 pel1a pel1b pel2 oki2 oki3 audio_test_tuey firing_range hol2 ber3 mak living_battlefield all_mp,,,weap_bar_fire_act,,,wpn_all,,0.5,,,,,,,,,,90,90,0.25,1,,
#weap_bar_fire_act,,SFX/Weapon/rifle/bar/Fire/wpn_BAR_st_act.wav,,0.96,1,,,3,oldest,,,rfl_1st,,curve3,,,,,1,1,,2d,,,,0.75,pel1 pel1a pel1b pel2 oki2 oki3 audio_test_tuey firing_range hol2 ber3 mak living_battlefield all_mp,,,weap_bar_move_plr_l,,,wpn_all,,0.5,,,,,,,,,,90,90,0.25,1,,
weap_bar_fire,,SFX\Weapon\Rifle\BAR\Fire\mono_##,,0.85,1,250,2000,10,priority,3,oldest,pis_3rd,,,,2000,,,0.92,1.08,pitch variant,3d,,,,0.7,pel1 pel1a pel1b pel2 oki2 oki3 audio_test_tuey firing_range hol2 ber3 mak living_battlefield all_mp,,,weap_bar_fire_mn_act,,,,,,,,,,,,,,,50,90,0.35,1,,
weap_bar_fire_mn_act,,SFX/Weapon/Rifle/BAR/Fire/act_##,,0.95,1,100,400,10,priority,3,oldest,pis_3rd,,,,1000,,,0.92,1.08,pitch variant,3d,,,,0.7,pel1 pel1a pel1b pel2 oki2 oki3 audio_test_tuey firing_range hol2 ber3 mak living_battlefield all_mp,,,weap_bar_fire_dist,,,,,,,,,,,,,,,50,90,0.35,1,,
weap_bar_fire_dist,,SFX/Weapon/dist/us/dist_us_bar.wav,,0.8,0.9,700,6000,10,priority,2,oldest,dist_wpn,rcurve3,curve2,0.8,12000,rcurve1,rcurve3,0.92,1.08,pitch,3d,,,,0.7,pel1 pel1a pel1b pel2 oki2 oki3 audio_test_tuey firing_range hol2 ber3 mak living_battlefield all_mp,,,weap_bar_move_plr_l,,,,,,,,,,,,,,,70,20,0.35,1,,
gr_bar_charge,,SFX/Weapon/Rifle/BAR/Foley/bar_charge.wav,,0.75,0.8,50,300,,,,,reload,,curve3,,500,,curve4,0.95,1.05,,3d,,,,,pel1 pel1a pel1b pel2 oki2 oki3 audio_test_tuey firing_range hol2 ber3 mak living_battlefield all_mp,,,,,,,,,,,,,,,,,,40,60,0.55,1,,
gr_bar_mag_in,,SFX/Weapon/Rifle/BAR/Foley/bar_mag_in.wav,,0.75,0.8,50,300,,,,,reload,,curve3,,500,,curve4,0.95,1.05,,3d,,,,,pel1 pel1a pel1b pel2 oki2 oki3 audio_test_tuey firing_range hol2 ber3 mak living_battlefield all_mp,,,,,,,,,,,,,,,,,,40,60,0.55,1,,
gr_bar_mag_out,,SFX/Weapon/Rifle/BAR/Foley/bar_mag_out.wav,,0.75,0.8,50,300,,,,,reload,,curve3,,500,,curve4,0.95,1.05,,3d,,,,,pel1 pel1a pel1b pel2 oki2 oki3 audio_test_tuey firing_range hol2 ber3 mak living_battlefield all_mp,,,,,,,,,,,,,,,,,,40,60,0.55,1,,
gr_bar_tap,,SFX/Weapon/Rifle/BAR/Foley/bar_tap.wav,,0.75,0.8,50,300,,,,,reload,,curve3,,500,,curve4,0.95,1.05,,3d,,,,,pel1 pel1a pel1b pel2 oki2 oki3 audio_test_tuey firing_range hol2 ber3 mak living_battlefield all_mp,,,,,,,,,,,,,,,,,,40,60,0.55,1,,
gr_bar_charge_plr,,SFX/Weapon/Rifle/BAR/Foley/bar_charge.wav,,0.75,0.8,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,pel1 pel1a pel1b pel2 oki2 oki3 audio_test_tuey firing_range hol2 ber3 mak living_battlefield all_mp,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
gr_bar_mag_in_plr,,SFX/Weapon/Rifle/BAR/Foley/bar_mag_in.wav,,0.75,0.8,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,pel1 pel1a pel1b pel2 oki2 oki3 audio_test_tuey firing_range hol2 ber3 mak living_battlefield all_mp,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
gr_bar_mag_out_plr,,SFX/Weapon/Rifle/BAR/Foley/bar_mag_out.wav,,0.75,0.8,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,pel1 pel1a pel1b pel2 oki2 oki3 audio_test_tuey firing_range hol2 ber3 mak living_battlefield all_mp,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
gr_bar_tap_plr,,SFX/Weapon/Rifle/BAR/Foley/bar_tap.wav,,0.75,0.8,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weap_bar_move_plr_l,,SFX/Weapon/Rifle/M1_Carbine/Fire/ring/car_m_left.wav,,0.95,1,200,6000,3,oldest,,,decay,,curve5,,,,,0.98,1.02,,3d,,,,,all_sp all_mp,,,weap_bar_move_plr_r,,75,,,,,,,,,,,left_shot,4,90,90,0.25,1,,
weap_bar_move_plr_r,,SFX/Weapon/Rifle/M1_Carbine/Fire/ring/car_m_right.wav,,0.9,1,200,6000,3,oldest,,,decay,,curve5,,,,,1,1,,3d,,,,,all_sp all_mp,,,shell_eject_rifle,,100,,,,,,,,,,,right_shot,4,90,90,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weap_bar_move_mn_l,,SFX/Weapon/Rifle/M1_Carbine/Fire/ring/car_m_left.wav,,0.2,0.25,200,1800,3,oldest,,,decay,,curve3,,,,,0.98,1.02,,3d,,,,,all_sp all_mp,,,weap_bar_move_plr_r,,,,,,,,,,,,,left_shot,2,10,20,0.25,1,,
weap_bar_move_mn_r,,SFX/Weapon/Rifle/M1_Carbine/Fire/ring/car_m_right.wav,,0.2,0.25,200,1800,3,oldest,,,decay,,curve3,,,,,1,1,,3d,,,,,all_sp all_mp,,,shell_eject_rifle,,,,,,,,,,,,,right_shot,2,10,20,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weap_bar_fire_plr,,SFX/Weapon/rifle/bar/Fire/wpn_BAR_st_f.wav,,0.9,1,,,1,oldest,,,rfl_1st,,curve3,,,,,0.98,1.04,,2d,,,,0.75,pel1 pel1a pel1b pel2 oki2 oki3 audio_test_tuey firing_range hol2 ber3 mak living_battlefield all_mp,,,weap_bar_fire_act,,,wpn_all,,0.5,,,,,,,,,,90,90,0.25,1,,
weap_bar_fire_act,,SFX/Weapon/rifle/bar/Fire/wpn_BAR_st_act.wav,,0.85,0.95,,,3,oldest,,,rfl_1st,,curve3,,,,,1,1,,2d,,,,0.75,pel1 pel1a pel1b pel2 oki2 oki3 audio_test_tuey firing_range hol2 ber3 mak living_battlefield all_mp,,,weap_bar_move_plr_l,,,wpn_fnt,,0.5,,,,,,,,,,90,90,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#FG42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weap_fg42_fire_plr,,SFX/Weapon/Rifle/fg42/Fire/wpn_fg42_st_f.wav,,0.7,0.7,,,1,oldest,,,smg_1st,,,,,,,0.98,1.02,,2d,,,,0.75,see1 ber1 ber3 mak_test  audio_test_tuey firing_range hol1 hol2 hol3 living_battlefield all_mp sniper,,,weap_fg42_fire_plr_act,,,wpn_all,,,,,,,,,,,,90,90,0.25,1,,
weap_fg42_fire_plr_act,,SFX/Weapon/Rifle/fg42/Fire/wpn_fg42_st_act.wav,,0.7,0.7,,,3,oldest,,,smg_1st,,,,,,,1,1,,2d,,,,0.75,see1 ber1 ber3 mak_test  audio_test_tuey firing_range hol1 hol2 hol3 living_battlefield all_mp sniper,,,weap_fg42_move_l,,,wpn_all,,,,,,,,,,,,90,90,0.25,1,,
weap_fg42_fire,,SFX/Weapon/Rifle/FG42/wpn_fg42_mn.wav,,0.8,0.9,250,2000,10,priority,2,oldest,smg_3rd,,curve0,,2000,,,0.95,1.05,,3d,,,,0.7,see1 ber1 ber3 mak_test  audio_test_tuey firing_range hol1 hol2 hol3 living_battlefield all_mp sniper,,,weap_fg42_fire_act,,,,,,,,,,,,,,,50,90,0.35,1,,
weap_fg42_fire_act,,SFX/Weapon/Rifle/FG42/wpn_fg42_mn_act.wav,,0.3,0.3,100,600,10,priority,3,oldest,smg_3rd,,curve1,,1000,,,0.95,1.05,pitch,3d,,,,0.7,see1 ber1 ber3 mak_test  audio_test_tuey firing_range hol1 hol2 hol3 living_battlefield all_mp sniper,,,weap_fg42_fire_dist,,,,,,,,,,,,,,,70,20,0.35,1,,
weap_fg42_fire_dist,,SFX/Weapon/dist/ger/dist_ger_mg.wav,,0.8,0.9,700,6000,10,priority,2,oldest,dist_wpn,rcurve3,curve2,0.8,12000,rcurve2,rcurve4,0.85,1.05,pitch,3d,,,,0.7,see1 ber1 ber3 mak_test  audio_test_tuey firing_range hol1 hol2 hol3 living_battlefield all_mp sniper,,,shell_eject_rifle,,,,,,,,,,,,no,,,70,20,0.35,1,,
weap_fg42_reload_plr,,SFX/Weapon/Rifle/fg42/Foley/GR_fg42.wav,,0.71,0.77,35,500,,,,,smg_1st,,curve3,,,,,0.9,1.1,,2d,,,,0.7,see1 ber1 ber3 mak_test  audio_test_tuey firing_range hol1 hol2 hol3 living_battlefield all_mp sniper,,,,,,,,,,,,,,,,,,20,90,0.35,1,,
weap_fg42_reload,,SFX/Weapon/Rifle/fg42/Foley/GR_fg42.wav,,0.71,0.77,35,500,,,,,smg_3rd,,curve3,,,,,0.9,1.1,,3d,,,,0.7,see1 ber1 ber3 mak_test  audio_test_tuey firing_range hol1 hol2 hol3 living_battlefield all_mp sniper,,,,,,,,,,,,,,,,,,20,90,0.35,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weap_fg42_move_l,,SFX/Weapon/Rifle/M1_Carbine/Fire/ring/car_m_left.wav,,0.95,1,500,6000,3,oldest,,,decay,,curve3,,,,,0.98,1.02,,3d,,,,0.75,see1 ber1 ber3 mak_test  audio_test_tuey firing_range hol1 hol2 hol3 living_battlefield all_mp sniper,,,weap_fg42_move_r,,100,,,,,,,,,,,left_shot,20,90,90,0.25,1,,
weap_fg42_move_r,,SFX/Weapon/Rifle/M1_Carbine/Fire/ring/car_m_right.wav,,0.9,1,500,6000,3,oldest,,,decay,,curve3,,,,,1,1,,3d,,,,0.75,see1 ber1 ber3 mak_test  audio_test_tuey firing_range hol1 hol2 hol3 living_battlefield all_mp sniper,,,shell_eject_rifle,,125,,,,,,,,,,,right_shot,20,90,90,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr_fg42_mag_out_plr,,SFX/Weapon/Rifle/fg42/Foley/gr_fg42_mag_out.wav,,0.75,0.8,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,see1 ber1 ber3 mak_test  audio_test_tuey firing_range hol1 hol2 hol3 living_battlefield all_mp sniper,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
gr_fg42_futz_plr,,SFX/Weapon/Rifle/fg42/Foley/gr_fg42_futz.wav,,0.75,0.8,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,see1 ber1 ber3 mak_test  audio_test_tuey firing_range hol1 hol2 hol3 living_battlefield all_mp sniper,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
gr_fg42_mag_in_plr,,SFX/Weapon/Rifle/fg42/Foley/gr_fg42_mag_in.wav,,0.75,0.8,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,see1 ber1 ber3 mak_test  audio_test_tuey firing_range hol1 hol2 hol3 living_battlefield all_mp sniper,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
gr_fg42_pull_plr,,SFX/Weapon/Rifle/fg42/Foley/gr_fg42_pull.wav,,0.75,0.8,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,see1 ber1 ber3 mak_test  audio_test_tuey firing_range hol1 hol2 hol3 living_battlefield all_mp sniper,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
gr_fg42_release_plr,,SFX/Weapon/Rifle/fg42/Foley/gr_fg42_release.wav,,0.75,0.8,,,,,,,reload,,,,,,curve4,0.95,1.05,,2d,,,,,see1 ber1 ber3 mak_test  audio_test_tuey firing_range hol1 hol2 hol3 living_battlefield all_mp sniper,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Gewehr 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weap_g43_fire_plr,,SFX/Weapon/Rifle/Gewehr43/Fire/wpn_G43_st_f.wav,,1,1,,,2,oldest,,,rfl_1st,,curve3,,,,,0.98,1.04,,2d,,,,0.75,ber1 ber3 see1 see2 oki3 audio_test_tuey firing_range hol1 hol2 hol3 ber3b living_battlefield all_mp sniper,,,weap_g43_fire_plr_act,,,wpn_all,,,,,,,,,,,,90,90,0.25,1,,
weap_g43_fire_plr_act,,SFX/Weapon/Rifle/Gewehr43/Fire/wpn_G43_st_act.wav,,1,1,,,2,oldest,,,rfl_1st,,curve3,,,,,1,1,,2d,,,,0.75,ber1 ber3 see1 see2 oki3 audio_test_tuey firing_range hol1 hol2 hol3 ber3b living_battlefield all_mp sniper,,,weap_g43_move_l,,,wpn_all,0.25,0.5,,,,,,,,,,90,90,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weap_g43_fire,,SFX\Weapon\Rifle\Gewehr43\Fire\wpn_G43_mn.wav,,1,1,250,2000,10,priority,2,oldest,rfl_3rd,,,,2000,,,0.95,1.05,pitch,3d,,,,0.7,ber1 ber3 see1 see2 oki3 audio_test_tuey firing_range hol1 hol2 hol3 ber3b living_battlefield all_mp sniper,,,weap_g43_fire_add,,,,,,,,,,,,,,,50,90,0.35,1,,
weap_g43_fire_add,,SFX/Weapon/Rifle/Gewehr43/Fire/wpn_G43_mn_sup.wav,,0.8,0.9,250,2000,10,priority,2,oldest,rfl_3rd,,,,2000,,,0.95,1.05,pitch,3d,,,,0.7,ber1 ber3 see1 see2 oki3 audio_test_tuey firing_range hol1 hol2 hol3 ber3b living_battlefield all_mp sniper,,,weap_g43_fire_act,,,,,,,,,,,,,,,50,90,0.35,1,,
weap_g43_fire_act,,SFX/Weapon/Rifle/Gewehr43/Fire/wpn_G43_mn_act.wav,,0.75,0.85,100,600,10,priority,2,oldest,rfl_3rd,,curve1,,1000,,,0.95,1.05,pitch,3d,,,,0.7,ber1 ber3 see1 see2 oki3 audio_test_tuey firing_range hol1 hol2 hol3 ber3b living_battlefield all_mp sniper,,,weap_g43_fire_dist,,,,,,,,,,,,,,,70,20,0.35,1,,
weap_g43_fire_dist,,SFX/Weapon/dist/ger/dist_ger_rifle.wav,,0.5,0.6,700,6000,10,priority,2,oldest,dist_wpn,,curve2,0.8,12000,rcurve2,rcurve4,0.85,1.05,pitch,3d,,,,0.7,ber1 ber3 see1 see2 oki3 audio_test_tuey firing_range hol1 hol2 hol3 ber3b living_battlefield all_mp sniper,,,weap_g43_move_mn_l,,,,,,,,,,,,no,,,70,20,0.35,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr_g43_slide_back_plr,,SFX/Weapon/rifle/Gewehr43/foley/gr_g43_slide_back.wav,,0.75,0.8,,,,,,,reload,,,,,,,0.95,1.05,,2d,,,,,ber1 ber3 see1 see2 oki3 audio_test_tuey firing_range hol1 hol2 hol3 ber3b living_battlefield all_mp sniper,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
gr_g43_slide_forward_plr,,SFX/Weapon/rifle/Gewehr43/foley/gr_g43_slide_forward.wav,,0.75,0.8,,,,,,,reload,,,,,,,0.95,1.05,,2d,,,,,ber1 ber3 see1 see2 oki3 audio_test_tuey firing_range hol1 hol2 hol3 ber3b living_battlefield all_mp sniper,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
gr_g43_mag_in_plr,,SFX/Weapon/rifle/Gewehr43/foley/gr_g43_mag_in.wav,,0.75,0.8,,,,,,,reload,,,,,,,0.95,1.05,,2d,,,,,ber1 ber3 see1 see2 oki3 audio_test_tuey firing_range hol1 hol2 hol3 ber3b living_battlefield all_mp sniper,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
gr_g43_mag_out_plr,,SFX/Weapon/rifle/Gewehr43/foley/GR_g43_mag_out.wav,,0.75,0.8,,,,,,,reload,,,,,,,0.95,1.05,,2d,,,,,ber1 ber3 see1 see2 oki3 audio_test_tuey firing_range hol1 hol2 hol3 ber3b living_battlefield all_mp sniper,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
gr_g43_tap_plr,,SFX/Weapon/rifle/Gewehr43/foley/gr_g43_mag_contact.wav,,0.75,0.8,,,,,1,reject,reload,,,,,,,0.95,1.05,,2d,,,,,ber1 ber3 see1 see2 oki3 audio_test_tuey firing_range hol1 hol2 hol3 ber3b living_battlefield all_mp sniper,,,,,,,,0.5,,,,,,,,,,80,95,0.55,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weap_g43_move_mn_l,,SFX\Weapon\Rifle\SVT40\fire\ring\svt_left_mn.wav,,0.2,0.25,50,1800,3,oldest,,,decay,,curve2,,,,,0.9,0.95,pitch,3d,,,,,ber1 ber3 see1 see2 oki3 audio_test_tuey firing_range hol1 hol2 hol3 ber3b living_battlefield all_mp sniper,,,weap_g43_move_mn_r,,,,,,,,,,,,,left_shot,2,90,90,0.25,1,,
weap_g43_move_mn_r,,SFX\Weapon\Rifle\SVT40\fire\ring\svt_right_mn.wav,,0.18,0.22,50,1800,3,oldest,,,decay,,curve2,,,,,0.92,1.04,pitch,3d,,,,,ber1 ber3 see1 see2 oki3 audio_test_tuey firing_range hol1 hol2 hol3 ber3b living_battlefield all_mp sniper,,,shell_eject_rifle,,,,,,,,,,,,,right_shot,2,90,90,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weap_g43_move_l,,SFX/Weapon/Rifle/M1_Carbine/Fire/ring/car_m_left.wav,,0.95,1,200,6000,,,,,decay,,curve5,,,,,0.98,1.02,,3d,,,,,ber1 ber3 see1 see2 oki3 audio_test_tuey firing_range hol1 hol2 hol3 ber3b living_battlefield all_mp sniper,,,weap_g43_move_r,,75,,,,,,,,,,,left_shot,4,90,90,0.25,1,,
weap_g43_move_r,,SFX/Weapon/Rifle/M1_Carbine/Fire/ring/car_m_right.wav,,0.9,1,200,6000,,,,,decay,,curve5,,,,,1,1,,3d,,,,,ber1 ber3 see1 see2 oki3 audio_test_tuey firing_range hol1 hol2 hol3 ber3b living_battlefield all_mp sniper,,,shell_eject_rifle,,100,,,,,,,,,,,right_shot,4,90,90,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weap_g43_fire_plr_sup,,SFX/Weapon/Rifle/Gewehr43/Fire/wpn_G43_st_sup.wav,,1,1,,,,,,,rfl_1st,,curve3,,,,,0.98,1.04,,2d,,,,0.75,ber1 ber3 see1 see2 oki3 audio_test_tuey firing_range hol1 hol2 hol3 ber3b living_battlefield all_mp sniper,,,shell_eject_rifle,,,wpn_all,,,,,,,,,,,,90,90,0.25,1,,
weap_g43_fire_sup,,SFX/Weapon/Rifle/Gewehr43/Fire/wpn_G43_mn_sup.wav,,0.9,1,100,600,10,priority,2,oldest,rfl_3rd,,curve1,,,,,0.95,1.05,pitch,3d,,,,0.7,ber1 ber3 see1 see2 oki3 audio_test_tuey firing_range hol1 hol2 hol3 ber3b living_battlefield all_mp sniper,,,shell_eject_rifle,,,,,,,,,,,,,,,70,20,0.35,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
