name,platform,file,sequence,vol_min,vol_max,dist_min,dist_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,dist_reverb_max,reverb_min_falloff_curve,reverb_falloff_curve,pitch_min,pitch_max,randomize_type,spatialized,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,chainaliasname,startdelay,speakermap,lfe percentage,center percentage,envelop_min,envelop_max,envelop percentage,occlusion_level,occlusion_wet_dry,real_delay,distance_lpf,move_type,move_time,min_priority,max_priority,min_priority_threshold,max_priority_threshold,,isbig
attack_whoosh,,SFX\Levels\zombie\whoosh_##,,0.8,1,250,500,2,reject,,,full_vol,,,,500,,curve2,0.85,1.2,,3d,,,,0.7,,,,,,,,,,75,355,0.9,0.5,,,,,,40,60,0.25,1
step_zombie,,SFX\Levels\zombie\steps_##,,0.35,0.55,100,800,2,priority,,,full_vol,,,,2000,,curve2,0.85,1.2,,3d,,,,0.7,,,,,,,,,,,,,0.5,,,,,,10,20,0.25,1
step_sweetner,,null.wav,,0.2,0.35,50,300,2,priority,,,full_vol,,,,1000,,curve2,0.85,1.2,,3d,,,,0.7,,,,,,,,,,,,,0.5,,,,,,20,50,0.25,1

remove_boards,,SFX\Levels\zombie\windows_##,,0.75,0.75,500,3800,8,reject,,,full_vol,,,,4800,,curve2,0.85,1.2,,3d,,,,,,,,,,,,,,,,,0.5,,,,,,90,100,0.25,1

break_boards,,SFX\Levels\zombie\wood_snap_##,,1,1,1000,5000,8,reject,,,full_vol,,,,4000,,curve2,0.85,1.2,,3d,,,,,,,,,,,,,,,,,0.05,,,,,,90,100,0.25,1
repair_boards,,SFX\Levels\zombie\wood_repair_##,,1,1,250,2500,3,oldest,,,full_vol,,,,4000,,curve2,1,1,,3d,,,,,,,,,,,,,,,,,0.5,,,,,,80,90,0.25,1

cha_ching,,SFX\Levels\zombie\buy_generic\buy_generic.wav,,1,1,250,2500,1,oldest,,,full_vol,,,,4000,,curve2,1,1,,3d,,,,,,,,,,,,,,,,,0.5,,,,,,100,100,0.25,1
no_cha_ching,,SFX\Levels\zombie\buy_generic\no_cha_ching.wav,,1,1,250,2500,1,oldest,,,full_vol,,,,4000,,curve2,1,1,,3d,,,,,,,,,,,,,,,,,0.5,,,,,,100,100,0.25,1
bomb_falloff,,SFX/Destruction/Explosion_Falloff_##,,1,1,,,8,reject,,,full_vol,,,,,,,0.94,1.04,,2d,,,,,,,,,,,wpn_all,,,,,,0,,,,,,100,100,0.25,1,,

break_stone,,SFX\Levels\zombie\stone\stone_break_##,,0.75,0.75,500,3800,8,reject,,,full_vol,,,,4000,,curve2,0.85,1.2,,3d,,,,,,,,,,,,,,,,,0.05,,,,,,90,100,0.25,1,,

zombie_impact_helmet,,SFX\projectile\bullet\headshot\helmet_##,,0.7,0.7,750,1500,4,priority,,,full_vol,,curve2,0.55,2000,,log2,0.9,1.1,,3d,,,,0.8,,,,,,,,,,,,,0.1,,,,,,40,80,0.35,0.8,,

#OTHER SFX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boards_float,,SFX\Levels\zombie\boards_float\boards_float.wav,,0.2,0.2,250,2500,3,oldest,,,full_vol,,,,4000,,curve2,1,1,,3d,,,,,,,,,,,wpn_all,,,,,,,,,,,,40,60,0.25,1,,
board_slam,,SFX\Levels\zombie\board_slam_##,,1,1,250,2500,,,,,full_vol,,,,4000,,curve2,0.9,1.1,,3d,,,,,,,,,,,,,,,,,,,,,,,40,60,0.25,1,,

couch_slam,,SFX\Levels\zombie\couch_slam_##,,1,1,1000,4000,1,reject,,,full_vol,,,,4000,,curve2,0.9,1.1,,3d,,,,,,,,lightning_l,,,,,,,,,,,,,,,40,60,0.25,1,,yes
zombie_spawn,,SFX\Levels\zombie\maps\asylum\dirt_spawn_##,,1,1,250,2000,3,priority,,,full_vol,,curve4,,2250,,curve2,1,1,,3d,,,,,,,,,,,,,,,,,,,,,,,40,60,0.25,1,,

lightning_l,,SFX\Levels\zombie\couch_move\couch_move_left.wav,,0.65,0.65,300,1850,1,reject,1,reject,full_vol,,,,2250,,curve2,0.9,1.1,,3d,,,,,,,,lightning_r,,,,,,250,500,0.8,,,,,left_player,6,40,60,0.25,1,,yes
lightning_r,,SFX\Levels\zombie\couch_move\couch_move_right.wav,,0.65,0.65,300,1850,1,reject,1,reject,full_vol,,,,2250,,curve2,0.9,1.1,,3d,,,,,,,,,,,,,,250,500,0.8,,,,,right_player,6,40,60,0.25,1,,yes


chalk,,SFX\Levels\zombie\chalk\round_over.wav,,0.7,0.7,250,2500,3,oldest,,,full_vol,,,,4000,,curve2,1,1,,2d,,,,master,,,,,,,wpn_all,,,,,,,,,,,,100,100,0.25,1,,
round_over,,SFX\Levels\zombie\chalk\chalk_v2.wav,,0.7,0.7,250,2500,3,oldest,,,full_vol,,,,4000,,curve2,1,1,,2d,,,,master,,,,,,,wpn_all,,,,,,,,,,,,100,100,0.25,1,,
weap_wall,,SFX\Levels\zombie\weap_wall\weap_wall.wav,,1,1,250,2500,3,oldest,,,full_vol,,,,4000,,curve2,1,1,,3d,,,,,,,,,,,wpn_all,,,,,,,,,,,,40,60,0.25,1,,
music_box,,SFX\Levels\zombie\music_box\music_box.wav,,1,1,500,2500,1,oldest,,,full_vol,,,,4000,,curve2,1,1,,3d,,,,master,,,,,,,,,,,,,,,,,,,40,60,0.25,1,,
lid_open,,SFX\Levels\zombie\music_box\lid_open.wav,,1,1,250,2500,1,oldest,,,full_vol,,,,4000,,curve2,1,1,,3d,,,,,,,,,,,,,,,,,,,,,,,20,30,0.25,1,,
lid_close,,SFX\Levels\zombie\music_box\lid_close.wav,,1,1,250,2500,1,oldest,,,full_vol,,,,4000,,curve2,1,1,,3d,,,,,,,,,,,,,,,,,,,,,,,20,30,0.25,1,,
door_slide_open,,SFX\Levels\zombie\doors\door_slide_open.wav,,1,1,250,2500,,,,,full_vol,,,,4000,,curve2,1,1,,3d,,,,,,,,,,,,,,,,,,,,,,,20,30,0.25,1,,

light,,SFX\Amb\lightbulbs\light_humming_00.wav,,0.65,0.85,100,800,,,,,ambience,,curve2,,1000,,curve2,0.85,1.05,pitch,3d,,,looping,,,,,,,,,,,,,,0.25,,no,no,,,5,10,0.1,1,,
fire_med,,SFX/Destruction/fires/bldg_fire/med_##,,1,1,50,500,,,,,ambience,,curve2,,,,,1,1,,3d,,,looping,,,,,,,,,,,,,,,,,,,,5,10,0.15,0.85,,
fire_large,,SFX\Levels\ber3b\fire\wall_fire.wav,,1,1,50,500,,,,,ambience,,curve2,,,,,1,1,,3d,streamed,,looping,,,,,,,,,,,,,,,,,,,,5,10,0.15,0.85,,

couch_loop,,SFX\Levels\zombie\couch_loop\whisper_00.wav,,1,1,100,550,,,,,ambience,,curve3,,800,,curve2,0.9,1.05,,3d,,,looping,,,,,,,,,,,,,,0,,,no,,,50,95,0.25,1,,yes
# Barrels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp_barrel,,SFX/Destruction/exp/barrel_##,,0.8,1,500,5000,,,,,full_vol,,curve3,,10000,,curve2,0.9,1.05,,3d,,,,,,,,exp_debris,,,,0.5,,,,,0.2,,,,,,50,95,0.25,1,,
barrel_fuse,,SFX/Destruction/exp/flare_##,,0.4,0.5,50,500,,,,,full_vol,,curve3,,1000,,curve2,0.9,1.05,,3d,,,,,,,,,,,,,,,,,0.2,,,,,,50,95,0.25,1,,
fuse,,SFX/Destruction/exp/flare_##,,0.4,0.5,50,500,,,,,full_vol,,curve3,,1000,,curve2,0.9,1.05,,3d,,,,,,,,,,,,,,,,,0.2,,,,,,50,95,0.25,1,,
exp_debris,,SFX/Destruction/exp/debris_##,,0.7,0.7,50,1200,,,,,full_vol,,curve3,,2400,,curve2,0.9,1.05,,3d,,,,,,,,barrel_explode_trail_l,,600,,0.1,0.4,,,,0.2,,,,,,50,95,0.25,1,,
exp_ammo,,SFX/Destruction/ammocrate_##,,0.8,1,500,1700,,,,,full_vol,,curve3,,3000,,curve2,1,1,,3d,,,,,,,,,,,,0.4,,,,,0.2,,,,,,50,95,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barrel_explode_trail_l,,SFX/Weapon/Gren/Gen_Gren/gren_trail_##,,0.4,0.6,500,2000,3,oldest,,,full_vol,,curve5,,10000,,,0.9,1,,3d,,,,,,,,barrel_explode_trail_r,,50,,,,,,,0.2,,,no,left_player,6,50,90,0.25,1,,
barrel_explode_trail_r,,SFX/Weapon/Gren/Gen_Gren/gren_trail_##,,0.4,0.6,500,2000,3,oldest,,,full_vol,,curve5,,10000,,,0.9,1,,3d,,,,,,,,barrel_explode_dist,,50,,,,,,,0.2,,,no,right_player,6,50,90,0.25,1,,
barrel_explode_dist,,SFX/Destruction/explosion_dist_##,,0.9,1,3000,12000,3,oldest,,,full_vol,,curve5,,13000,,,0.9,1.1,,3d,,,,,,,,barrel_explode_distR,,,,0.4,,,,,0.2,,,no,left_player,6,50,90,0.55,1,,
barrel_explode_distR,,SFX/Destruction/explosion_dist_##,,0.9,1,3000,12000,3,oldest,,,full_vol,,curve5,,13000,,,0.9,1.1,,3d,,,,,,,,bomb_falloff,,,,0.4,,,,,0.2,,,no,right_player,6,50,90,0.55,1,,

sparks,,SFX\Levels\sniper\sparks_##,,0.8,1,500,5000,,,,,explosion,,curve3,,10000,,curve2,0.9,1.05,,3d,,,,,,,,,,,,0.5,,,,,,,,,,,50,95,0.25,1,,
generator_loop,,null.wav,,0.8,1,500,5000,,,,,explosion,,curve3,,10000,,curve2,0.9,1.05,,3d,,,looping,,,,,,,,,,,,,,,,,,,,50,95,0.25,1,,

explo_shockwave_l,,SFX/Levels/Makin/exp_sweetner/exp_decay_R.wav,,0.9,0.95,1200,6000,1,priority,,,full_vol,,curve3,,18000,,,0.98,1.02,,3d,,,,0.85,,,,explo_shockwave_r,,250,,,,,,,0.2,,no,no,left_player,4,50,90,0.25,1,,yes
explo_shockwave_r,,SFX/Levels/sniper/dist_explos/explo_sweetner_right.wav,,0.9,0.95,1200,6000,1,priority,,,full_vol,,curve3,,18000,,,1,1,,3d,,,,0.85,,,,bomb_far_falloff_glo,,350,,,,,,,0.2,,no,no,right_player,4,50,90,0.25,1,,yes
explo_metal_rand,,SFX/Destruction/vehicle_##,,1,1,1200,18000,,,,,full_vol,,curve3,,22000,,curve2,0.9,1.1,,3d,,,,,,,,explo_shockwave_l,,,,0.2,,,,,0.2,,no,no,,,50,95,0.25,1,,yes

# Power Ups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spawn_powerup,,SFX\Levels\zombie\powerups\powerup\power_up_spawn.wav,,0.8,0.8,500,4000,3,reject,,,full_vol,,curve4,1,4500,,curve2,1,1,,3d,,,,,,,,,,,,,,,,,0.25,,,,,,100,100,0.25,1,,
powerup_grabbed,,SFX\Levels\zombie\powerups\powerup\power_up_grab.wav,,0.8,0.8,500,4000,3,reject,,,full_vol,,curve4,1,4500,,curve2,1,1,,2d,,,,,,,,,,,wpn_all,,,,,,0.25,,,,,,100,100,0.25,1,,
spawn_powerup_loop,,SFX\Levels\zombie\powerups\powerup\power_up_loop.wav,,0.25,0.25,50,800,4,reject,,,full_vol,,curve4,1,1200,,curve2,1,1,,3d,,,looping,0.5,,,,,,550,,,,,,,0.25,,,,,,100,100,0.25,1,,
insta_kill,,SFX\Levels\zombie\powerups\insta_kill\insta_kill.wav,,0.6,0.6,500,4000,4,reject,,,full_vol,,curve4,1,4500,,curve2,1,1,,2d,,,,,,,,,,,wpn_all,,,,,,0.25,,,,,,100,100,0.25,1,,
insta_kill_loop,,SFX\Levels\zombie\powerups\insta_kill\insta_kill_loop.wav,,0.5,0.5,50,800,4,reject,,,full_vol,,curve4,1,1200,,curve2,1,1,,2d,,,looping,0.5,,,,,,,wpn_all,,,,,,0.25,,,,,,100,100,0.25,1,,
full_ammo,,SFX\Levels\zombie\powerups\full_ammo\full_ammo.wav,,0.7,0.7,50,800,4,reject,,,full_vol,,curve4,1,1200,,curve2,1,1,,2d,,,,,,,,,,,,,,,,,0.25,,,,,,100,100,0.25,1,,
nuked,,SFX\Levels\zombie\powerups\nuke\nuke.wav,,1,1,500,4000,3,reject,,,full_vol,,curve4,1,4500,,curve2,1,1,,3d,,,,,,,,,,,,,,,,,0.25,,,,,,100,100,0.25,1
nuke_flash,,SFX\Amb\flare\flare_exp.wav,,1,1,500,4000,4,reject,,,full_vol,,curve4,1,4500,,curve2,1,1,,2d,,,,,,,,bomb_falloff,,,wpn_all,,,,,,0.25,,,,,,100,100,0.25,1
double_point_loop,,SFX\Levels\zombie\powerups\double_point\double_point_loop.wav,,0.25,0.25,50,800,4,reject,,,full_vol,,curve4,1,1200,,curve2,1,1,,2d,,,looping,0.5,,,,,,,wpn_all,,,,,,0.25,,,,,,100,100,0.25,1
points_loop_off,,SFX\Levels\zombie\powerups\double_point\double_point_off.wav,,0.7,0.7,50,800,4,reject,,,full_vol,,curve4,1,1200,,curve2,1,1,,2d,,,,,,,,,,,wpn_all,,,,,,0.25,,,,,,100,100,0.25,1

# Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
static,,SFX\Levels\sniper\sparks_##,,0.8,1,500,5000,,,,,explosion,,curve3,,10000,,curve2,0.9,1.05,,3d,,,,,,,,,,,,0.5,,,,,,,,,,,50,95,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wtf,,SFX\Levels\zombie\radio\mx_wtf.wav,,0.8,0.8,50,2500,,,,,music,,curve2,0.8,3200,,curve2,1,1,,3d,streamed,,,0.2,,,,,,,,,,,,,0.25,,,yes,,,80,80,0.15,0.85
true_crime_4,,SFX\Levels\zombie\radio\true_crime_track_4.wav,,0.6,0.6,50,2500,,,,,music,,curve2,0.8,3200,,curve2,1,1,,3d,streamed,,,0.2,,,,,,,,,,,,,0.25,,,yes,,,80,80,0.15,0.85
dusk,,SFX\Levels\zombie\radio\dusk.wav,,0.6,0.6,50,2500,,,,,music,,curve2,0.8,3200,,curve2,1,1,,3d,streamed,,,0.2,,,,,,,,,,,,,0.25,,,yes,,,80,80,0.15,0.85
sand,,SFX\Levels\zombie\radio\mx_sand.wav,,0.6,0.6,50,2500,,,,,music,,curve2,0.8,3200,,curve2,1,1,,3d,streamed,,,0.2,,,,,,,,,,,,,0.25,,,yes,,,80,80,0.15,0.85
all_mixed_up,,SFX\Levels\zombie\radio\mx_all_mixed_up.wav,,0.6,0.6,50,2500,,,,,music,,curve2,0.8,3200,,curve2,1,1,,3d,streamed,,,0.2,,,,,,,,,,,,,0.25,,,yes,,,80,80,0.15,0.85
ber3b_guitars,,SFX\Levels\zombie\radio\mx_ber3b_guitars.wav,,0.6,0.6,50,2500,,,,,music,,curve2,0.8,3200,,curve2,1,1,,3d,streamed,,,0.2,,,,,,,,,,,,,0.25,,,yes,,,80,80,0.15,0.85
bold_men,,SFX\Levels\zombie\radio\mx_boldmen_city_loop.wav,,0.6,0.6,50,2500,,,,,music,,curve2,0.8,3200,,curve2,1,1,,3d,streamed,,,0.2,,,,,,,,,,,,,0.25,,,yes,,,80,80,0.15,0.85
dog_fire,,SFX\Levels\zombie\radio\mx_dog_fire.wav,,0.6,0.6,50,2500,,,,,music,,curve2,0.8,3200,,curve2,1,1,,3d,streamed,,,0.2,,,,,,,,,,,,,0.25,,,yes,,,80,80,0.15,0.85
the_march,,SFX\Levels\zombie\radio\mx_march_ber3_00.wav,,0.6,0.6,50,2500,,,,,music,,curve2,0.8,3200,,curve2,1,1,,3d,streamed,,,0.2,,,,,,,,,,,,,0.25,,,yes,,,80,80,0.15,0.85
drum_no_bass,,SFX\Levels\zombie\radio\mx_pel1b_00.wav,,0.6,0.6,50,2500,,,,,music,,curve2,0.8,3200,,curve2,1,1,,3d,streamed,,,0.2,,,,,,,,,,,,,0.25,,,yes,,,80,80,0.15,0.85
russian_theme,,SFX\Levels\zombie\radio\mx_russian_theme.wav,,0.6,0.6,50,2500,,,,,music,,curve2,0.8,3200,,curve2,1,1,,3d,streamed,,,0.2,,,,,,,,,,,,,0.25,,,yes,,,80,80,0.15,0.85
stag_push,,SFX\Levels\zombie\radio\mx_stag_push_00.wav,,0.6,0.6,50,2500,,,,,music,,curve2,0.8,3200,,curve2,1,1,,3d,streamed,,,0.2,,,,,,,,,,,,,0.25,,,yes,,,80,80,0.15,0.85
goddess_energy,,SFX\Levels\zombie\radio\mx_underscore_ber2.wav,,0.6,0.6,50,2500,,,,,music,,curve2,0.8,3200,,curve2,1,1,,3d,streamed,,,0.2,,,,,,,,,,,,,0.25,,,yes,,,80,80,0.15,0.85
wild_card,,SFX\Levels\zombie\radio\mx_WildCard_loop_g_final.wav,,0.6,0.6,50,2500,,,,,music,,curve2,0.8,3200,,curve2,1,1,,3d,streamed,,,0.2,,,,,,,,,,,,,0.25,,,yes,,,80,80,0.15,0.85
pby_old,,SFX\Levels\zombie\radio\pby_old.wav,,0.6,0.6,50,2500,,,,,music,,curve2,0.8,3200,,curve2,1,1,,3d,streamed,,,0.2,,,,,,,,,,,,,0.25,,,yes,,,80,80,0.15,0.85
